Roll Number,Name,Program,Branch,Preference-1,Grade-1,Preference-2,Grade-2,Preference-3,Grade-3,Preference-4,Grade-4,Preference-5,Grade-5
D20AI049,Divij Ramachandran,M.Tech-PhD 4,AI,DL-Ops,A-,Principles of Programming Languages,A,Data Engineering,A,Data Structures and Algorithms,A,Software Engineering,A
D23CS009,Dharmajan Tella,M.Tech-PhD 1,CS,PCS1,A,Data Structures and Algorithms,A,Data Engineering,B,PCS2,A-,Optimization in ML,A
B20CS176,Raghav Dara,UG 4,CS,Data Engineering,A,Introduction to Computer Science,A,PCS1,A,Pattern Recognition and Machine Learning,A,Principles of Programming Languages,B
M23CS137,Biju Kakar,M.Tech 1,AI,Operating Systems,A,Pattern Recognition and Machine Learning,A,Design and Analysis of Algorithms,A-,Introduction to Computer Science,A,PCS2,A
M23AI032,Navya Bhatti,M.Tech 1,AI,Operating Systems,A,Introduction to Computer Science,B,DL-Ops,A-,Data Engineering,B-,Database Systems,B-
B21AI193,Nirvaan Banik,UG 3,AI,Computer Vision,B-,PCS2,B,Database Systems,B-,Principles of Programming Languages,A-,Operating Systems,A
B21AI051,Ayesha Bora,UG 3,AI,Introduction to Computer Graphics,A,PCS2,A,Principles of Programming Languages,A,Computer Networks,A,Data Engineering,A
D20AI015,Sumer Khatri,M.Tech-PhD 4,CS,Computer Vision,A,Design and Analysis of Algorithms,A,Operating Systems,A,Artificial Intelligence,A-,Optimization in ML,A-
M23CS139,Navya Mahajan,M.Tech 1,CS,Design and Analysis of Algorithms,A,Pattern Recognition and Machine Learning,A,Computer Vision,B-,Computer Architecture,A,PCS2,A
B21AI189,Zara Rama,UG 3,CS,Database Systems,A,Data Structures and Algorithms,A,Maths for Computing,A-,Software Engineering,A,Computer Networks,B
B21AI197,Jivin Dugal,UG 3,CS,Introduction to Computer Graphics,A,PCS1,A,PCS2,B,Computer Vision,A,Introduction to Computer Science,A
M22CS180,Raghav Venkataraman,M.Tech 2,CS,Pattern Recognition and Machine Learning,A-,Artificial Intelligence,A,Computer Networks,A-,Optimization in ML,A,Design and Analysis of Algorithms,A-
M22CS146,Damini Agarwal,M.Tech 2,CS,PCS2,B-,Operating Systems,A,Computer Vision,A,Optimization in ML,A,Data Structures and Algorithms,A
D20AI076,Nishith Sen,M.Tech-PhD 4,CS,PCS2,A,Data Structures and Algorithms,A-,Pattern Recognition and Machine Learning,B,Introduction to Computer Science,A-,Database Systems,A
D21AI016,Neelofar Grover,M.Tech-PhD 3,AI,Operating Systems,A-,DL-Ops,B-,Introduction to Computer Graphics,A,Design and Analysis of Algorithms,B-,Computer Vision,B
M22CS032,Prerak Dugal,M.Tech 2,CS,Data Structures and Algorithms,A,Computer Architecture,A,PCS2,A,Computer Vision,A,Machine Learning,A-
B21AI026,Anya Varghese,UG 3,AI,Computer Architecture,A,Data Engineering,A,Database Systems,A-,Introduction to Computer Graphics,A,Maths for Computing,A
M23CS121,Neelofar Chand,M.Tech 1,CS,Optimization in ML,B,Software Engineering,B,Operating Systems,A-,Data Engineering,B,Introduction to Computer Graphics,B-
B20CS044,Stuvan Kala,UG 4,AI,Introduction to Computer Graphics,A-,Computer Architecture,B,Data Engineering,A-,Pattern Recognition and Machine Learning,A-,Design and Analysis of Algorithms,A
P19AI007,Kabir Som,PhD 5,AI,Maths for Computing,A-,Pattern Recognition and Machine Learning,B,PCS2,A-,Design and Analysis of Algorithms,A,Introduction to Computer Science,A-
P21AI005,Tara Keer,PhD 3,CS,Introduction to Computer Science,B-,Maths for Computing,A,Data Structures and Algorithms,A,Computer Networks,A-,Software Engineering,B
B20CS035,Romil Sachdev,UG 4,AI,Data Structures and Algorithms,A,Introduction to Computer Graphics,A,Database Systems,B-,Principles of Programming Languages,A,Operating Systems,A
D22AI080,Faiyaz Atwal,M.Tech-PhD 2,CS,Computer Architecture,B-,Design and Analysis of Algorithms,A,PCS1,A,Data Structures and Algorithms,A,PCS2,A-
D20CS029,Anvi Randhawa,M.Tech-PhD 4,CS,Machine Learning,A,Maths for Computing,B-,PCS2,A,Software Engineering,A,Pattern Recognition and Machine Learning,A
M22CS083,Shalv Zacharia,M.Tech 2,AI,Software Engineering,A,Introduction to Computer Graphics,B,Operating Systems,A,Optimization in ML,A,Database Systems,A-
M22CS094,Abram Baral,M.Tech 2,AI,Pattern Recognition and Machine Learning,A-,Introduction to Computer Science,B,Maths for Computing,B-,Database Systems,A-,Machine Learning,A
M22CS174,Miraya Gala,M.Tech 2,AI,Principles of Programming Languages,A,PCS2,A-,Maths for Computing,A-,Computer Networks,A,Database Systems,A-
D21AI050,Jayesh Bhagat,M.Tech-PhD 3,CS,Maths for Computing,A-,Introduction to Computer Science,A-,PCS2,A-,Operating Systems,A-,PCS1,A-
P23AI010,Manikya Krishna,PhD 1,CS,Computer Networks,A,Principles of Programming Languages,A,Introduction to Computer Science,A,PCS2,A-,Machine Learning,A-
P23AI140,Saanvi Malhotra,PhD 1,AI,Computer Networks,A,Pattern Recognition and Machine Learning,A,PCS1,A,Operating Systems,B,Introduction to Computer Science,A
